id,hs_code,issuing_country,country,tariff_type,tariff_rate,effective_date_from,effective_date_to,investigation_period_from,investigation_period_to,company,case_number,product_description,note
1,7210.30.0030,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
2,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
3,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
4,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
5,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
6,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
7,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
8,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
9,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
10,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
